,Average Rank,Film,Year
0,17,Parasite,2019
1,18,Schindler's List,1993
2,19,Lord of the Rings: The Fellowship of the Ring,2001
3,20,Shawshank Redemption,1994
4,22,Pulp Fiction,1994
5,23,Avengers: Endgame,2019
6,26,Goodfellas,1990
7,29,The Silence of the Lambs,1991
8,31,Saving Private Ryan,1998
9,34,Spider-Man: Into the Spider-verse,2018
10,37,The Dark Knight,2008
11,41,Mad Max: Fury Road,2015
12,42,Inception,2010
13,43,Lord of the Rings: Return of the King,2003
14,44,The Matrix,1999
15,45,Fight Club,1999
16,49,Lord of the Rings: The Two Towers,2002
17,52,Terminator 2: Judgement Day,1991
18,53,Se7en,1995
19,55,Interstellar,2014
20,59,Avengers: Infinity War,2018
21,60,Gladiator,2000
22,62,Get Out,2017
23,63,Moonlight,2016
24,64,Spirited Away,2001
25,65,Lady Bird,2017
26,67,Forrest Gump,1994
27,69,Black Panther,2018
28,70,Whiplash,2014
29,76,Mulholland Drive,2001
30,77,In the Mood for Love,2000
31,78,A Quiet Place,2018
32,80,Coco,2017
33,82,The Usual Suspects,1995
34,86,Logan,2017
35,87,Thor: Ragnarok,2017
36,88,L̩on: The Professional,1994
37,90,Eternal Sunshine of the Spotless Mind,2004
38,91,Arrival,2016
39,92,Portrait of a Lady on Fire,2020
40,95,La La Land,2016
41,97,Inglourious Basterds,2009
42,103,LA Confidential,1997
43,104,Titanic,1997
44,105,Toy Story,1995
45,106,Reservoir Dogs,1992
46,107,Paddington 2,2018
47,108,Amelie,2001
